long_name,cre,collection_date,sequencing_type,total_reads,all_mapped_percent,mRNA_percent,genome_percent,ercc_percent,tdt_permillion,major_class,sub_class,major_dissection,layer_dissectoin,color_code,short_name
A01101401,Calb2,11/18/2013,hiseq,23770190,93.5,54.43,30.08,4.36,306.1,Inhibitory,Vip,V1,All,11,A200_V
A01101402,Calb2,11/18/2013,hiseq,9694719,92.86,45.69,35.45,7.84,341.2,Inhibitory,Vip,V1,All,11,A201_V
A01101403,Calb2,11/18/2013,hiseq,5864322,90.55,48.3,34.01,4.12,106.2,Excitatory,L4,V1,All,11,A202_V
A01101404,Calb2,11/18/2013,hiseq,22102121,93.25,51.41,33.81,4.24,371.1,Inhibitory,Vip,V1,All,11,A203_V
A01101405,Calb2,11/18/2013,hiseq,24057147,93.14,51.06,32.11,4.98,264.2,Inhibitory,Vip,V1,All,11,A204_V
A01101406,Calb2,11/18/2013,hiseq,24171169,92.18,49.31,35.85,3.14,205.8,Excitatory,L2/3,V1,All,11,A205_V
A01101407,Calb2,11/18/2013,hiseq,22447919,93.19,48.83,37.06,3.12,204.5,Excitatory,L2/3,V1,All,11,A206_V
A01101408,Calb2,11/18/2013,hiseq,20995719,93.1,67.24,18.11,2.27,302.3,Excitatory,L2/3,V1,All,11,A207_V
A02271433,Calb2,2/25/2014,hiseq,9023705,93.01,47.38,34.82,3.22,318.4,Excitatory,L4,V1,All,11,A272_V
A02271434,Calb2,2/25/2014,hiseq,23016406,93.18,53.5,31.67,2.13,318.1,Excitatory,L2/3_Syt10,V1,All,11,A273_V
A02271435,Calb2,2/25/2014,hiseq,5447298,90.17,55.78,24.8,2.61,183.8,Inhibitory,Pvalb,V1,All,11,A274_V
A02271436,Calb2,2/25/2014,hiseq,8892003,93.8,55.16,31.87,0.96,232,Excitatory,L2/3,V1,All,11,A275_V
A02271437,Calb2,2/25/2014,hiseq,20660938,88.98,46.11,36.91,1.48,226.8,Inhibitory,Vip,V1,All,11,A276_V
A02271438,Calb2,2/25/2014,hiseq,21353123,92.71,50.04,36.69,0.98,320.5,Excitatory,L2/3,V1,All,11,A277_V
A02271439,Calb2,2/25/2014,hiseq,24088938,92.12,43.63,41.32,1.93,137.2,Inhibitory,Vip,V1,All,11,A278_V
